Greedy only:
double reject, reduceRatio = 0.9999;
int nAns, uphill, T = 10000000, N = 100; // N: number of answer in T

====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
Given input's HPWL: 15701.86964
After initPlace HPWL: 16272
T: 9999000, bestWL: 16272
T: 9998000, bestWL: 16272
T: 9997000, bestWL: 16272
T: 9996000, bestWL: 16272
T: 9995000, bestWL: 16272
T: 9994000, bestWL: 16272
T: 9993000, bestWL: 16272
T: 9992000, bestWL: 16272
T: 9991000, bestWL: 16272
T: 9990000, bestWL: 16272
T: 9840200, bestWL: 16078
T: 9652000, bestWL: 15666
T: 9522500, bestWL: 15659
T: 9442800, bestWL: 15605
T: 9291900, bestWL: 15458
T: 9225200, bestWL: 15425
T: 9002700, bestWL: 15386
T: 8986500, bestWL: 15386
T: 8874800, bestWL: 15337
T: 8732100, bestWL: 15168.5
T: 8692000, bestWL: 15115.5
T: 8680700, bestWL: 15115.5
T: 8505300, bestWL: 15094
T: 8463700, bestWL: 15094
T: 8402100, bestWL: 15062
T: 8185500, bestWL: 14987
T: 8167500, bestWL: 14986
T: 8104000, bestWL: 14917
T: 7798500, bestWL: 14592
T: 7794600, bestWL: 14592
T: 7790700, bestWL: 14592
T: 7713900, bestWL: 14585
T: 7703100, bestWL: 14585
T: 7645500, bestWL: 14585
T: 7567100, bestWL: 14585
T: 7396400, bestWL: 14570
T: 7392700, bestWL: 14570
T: 7369800, bestWL: 14570
T: 7002400, bestWL: 14499.5
T: 6987000, bestWL: 14499.5
T: 6919500, bestWL: 14484.5
T: 6876700, bestWL: 14405.5
T: 6836900, bestWL: 14346.5
T: 6749200, bestWL: 14340.5
T: 6746500, bestWL: 14340.5
T: 6743800, bestWL: 14340.5
T: 6741100, bestWL: 14340.5
T: 6699400, bestWL: 14329.5
T: 6692700, bestWL: 14329.5
T: 6671300, bestWL: 14308.5
T: 6597600, bestWL: 14257
T: 6594300, bestWL: 14257
T: 6591000, bestWL: 14257
T: 6531900, bestWL: 14221
T: 6503200, bestWL: 14221
T: 6486300, bestWL: 14221
T: 6406300, bestWL: 14154
T: 6303900, bestWL: 14140
T: 6285000, bestWL: 14140
T: 6276200, bestWL: 14140
T: 6238000, bestWL: 14140
T: 6213700, bestWL: 14140
T: 6205000, bestWL: 14140
T: 6115600, bestWL: 14092
T: 6080200, bestWL: 14043
T: 6064400, bestWL: 14043
T: 6001000, bestWL: 14043
T: 5988400, bestWL: 14043
T: 5841000, bestWL: 14039
T: 5800800, bestWL: 14039
T: 5767800, bestWL: 14039
T: 5721800, bestWL: 14039
T: 5711500, bestWL: 14039
T: 5707500, bestWL: 14039
T: 5624700, bestWL: 14039
T: 5598300, bestWL: 14039
T: 5595500, bestWL: 14039
T: 5592700, bestWL: 14039
T: 5589900, bestWL: 14039
T: 5573700, bestWL: 14039
T: 5558100, bestWL: 14039
T: 5543100, bestWL: 14039
T: 5537000, bestWL: 14039
T: 5505500, bestWL: 14039
T: 5468700, bestWL: 14039
T: 5436500, bestWL: 14039
T: 5427800, bestWL: 14039
T: 5398000, bestWL: 14039
T: 5395300, bestWL: 14039
T: 5392600, bestWL: 14039
T: 5389900, bestWL: 14039
T: 5358700, bestWL: 14039
T: 5283600, bestWL: 13947
T: 5258800, bestWL: 13947
T: 5185100, bestWL: 13945
T: 5061000, bestWL: 13945
T: 5013100, bestWL: 13918
T: 4976100, bestWL: 13918
T: 4929000, bestWL: 13918
T: 4834200, bestWL: 13903
T: 4789400, bestWL: 13886
T: 4475100, bestWL: 13824.5
T: 4453200, bestWL: 13824.5
T: 4425200, bestWL: 13824.5
T: 4419000, bestWL: 13824.5
T: 4387700, bestWL: 13824.5
T: 4370600, bestWL: 13824.5
T: 4346600, bestWL: 13824.5
T: 4335300, bestWL: 13824.5
T: 4297700, bestWL: 13775.5
T: 4293400, bestWL: 13775.5
T: 4274100, bestWL: 13775.5
T: 4248500, bestWL: 13775.5
T: 4246800, bestWL: 13775.5
T: 4245100, bestWL: 13775.5
T: 4243400, bestWL: 13775.5
T: 4241700, bestWL: 13775.5
T: 4240000, bestWL: 13760.5
T: 4176800, bestWL: 13730.5
T: 4138500, bestWL: 13680.5
T: 4098500, bestWL: 13680.5
T: 4094400, bestWL: 13680.5
T: 4090300, bestWL: 13680.5
T: 4085800, bestWL: 13680.5
T: 4008000, bestWL: 13672.5
T: 3982000, bestWL: 13661.5
T: 3930500, bestWL: 13661.5
T: 3896800, bestWL: 13661.5
T: 3892900, bestWL: 13661.5
T: 3882000, bestWL: 13661.5
T: 3863000, bestWL: 13661.5
T: 3854500, bestWL: 13661.5
T: 3781100, bestWL: 13639
T: 3706500, bestWL: 13597
T: 3644300, bestWL: 13597
T: 3638100, bestWL: 13584
T: 3500500, bestWL: 13530
T: 3489300, bestWL: 13530
T: 3457300, bestWL: 13530
T: 3380600, bestWL: 13520
T: 3373500, bestWL: 13520
T: 3359000, bestWL: 13520
T: 3350600, bestWL: 13520
T: 3334200, bestWL: 13520
T: 3321200, bestWL: 13514
T: 3311900, bestWL: 13514
T: 3285800, bestWL: 13509
T: 3259900, bestWL: 13509
T: 3225800, bestWL: 13502
T: 3215800, bestWL: 13502
T: 3170700, bestWL: 13502
T: 3098800, bestWL: 13502
T: 3095700, bestWL: 13502
T: 3092600, bestWL: 13502
T: 3025800, bestWL: 13344
T: 3013700, bestWL: 13337
T: 2923600, bestWL: 13319
T: 2824000, bestWL: 13244
T: 2786900, bestWL: 13244
T: 2764100, bestWL: 13244
T: 2714700, bestWL: 13244
T: 2703300, bestWL: 13244
T: 2683600, bestWL: 13229
