====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 999900000, bestHPWL: 16272
T: 992626900, bestHPWL: 15918
T: 959635000, bestHPWL: 15735
T: 943458200, bestHPWL: 15652
T: 923481600, bestHPWL: 15508.5
T: 917865200, bestHPWL: 15502.5
T: 915207100, bestHPWL: 15502.5
T: 914292300, bestHPWL: 15502.5
T: 907641900, bestHPWL: 15502.5
T: 892163100, bestHPWL: 15472.5
T: 877913500, bestHPWL: 15374.5
T: 875021000, bestHPWL: 15374.5
T: 870395400, bestHPWL: 15347.5
T: 859840500, bestHPWL: 15347.5
T: 857264700, bestHPWL: 15312.5
T: 853842300, bestHPWL: 15312.5
T: 829103400, bestHPWL: 15061
T: 828357500, bestHPWL: 15061
T: 824885500, bestHPWL: 15061
T: 817249200, bestHPWL: 15053
T: 810250600, bestHPWL: 15053
T: 809197900, bestHPWL: 15053
T: 808712500, bestHPWL: 15053
T: 781598800, bestHPWL: 15050
T: 777933700, bestHPWL: 15050
T: 776534600, bestHPWL: 15050
T: 776379300, bestHPWL: 15050
T: 770423800, bestHPWL: 15021
T: 762910100, bestHPWL: 14968
T: 754412700, bestHPWL: 14955
T: 751927100, bestHPWL: 14955
T: 734388400, bestHPWL: 14954
T: 731529700, bestHPWL: 14954
T: 728172200, bestHPWL: 14954
T: 724105600, bestHPWL: 14954
T: 709128000, bestHPWL: 14858
T: 699198900, bestHPWL: 14809
T: 697313500, bestHPWL: 14765
T: 690029600, bestHPWL: 14710
T: 689891600, bestHPWL: 14710
T: 682753500, bestHPWL: 14710
T: 679416000, bestHPWL: 14681
T: 671714200, bestHPWL: 14614
T: 670305000, bestHPWL: 14614
T: 664697700, bestHPWL: 14567
T: 661117800, bestHPWL: 14530
T: 658807800, bestHPWL: 14530
T: 642476600, bestHPWL: 14481
T: 641449400, bestHPWL: 14444
T: 636147100, bestHPWL: 14444
T: 626863600, bestHPWL: 14444
T: 624485900, bestHPWL: 14444
T: 616049900, bestHPWL: 14439
T: 610224800, bestHPWL: 14439
T: 598260500, bestHPWL: 14400.5
T: 597662500, bestHPWL: 14400.5
T: 597065100, bestHPWL: 14400.5
T: 596468300, bestHPWL: 14400.5
